kota_administrasi,kecamatan,jumlah_rw,jumlah_rt,jumlah_kk,jumlah_jiwa,jumlah_meninggal,jumlah_hilang,jumlah_luka_berat,jumlah_luka_ringan,jumlah_pengungsi,jumlah_tempat_pengungsian,nilai_kerugian,ketinggian_air,tahun,bulan
Jakarta Barat,Cengkareng,24,36,3723,6980,0,0,0,0,0,0.0,0,100,2015,1
Jakarta Barat,Kalideres,7,0,0,0,0,0,0,0,0,0.0,0,50,2015,1
Jakarta Barat,Kebon Jeruk,2,0,0,0,0,0,0,0,0,0.0,0,60,2015,1
Jakarta Barat,Kembangan,3,3,0,0,0,0,0,0,0,0.0,0,20,2015,1
Jakarta Barat,Palmerah,1,0,0,0,0,0,0,0,0,0.0,0,20,2015,1
Jakarta Pusat,Cempaka Putih,1,1,0,0,0,0,0,0,0,0.0,0,40,2015,1
Jakarta Selatan,Tebet,4,6,0,0,0,0,0,0,0,0.0,0,105,2015,1
Jakarta Timur,Jatinegara,8,3,1700,4117,0,0,0,0,0,0.0,0,150,2015,1
Jakarta Timur,Kramat Jati,4,19,387,900,0,0,0,0,0,0.0,0,30,2015,1
Jakarta Utara,Cilincing,39,55,285,1076,0,0,0,0,899,5.0,0,150,2015,1
Jakarta Utara,Kelapa Gading,29,3,0,0,0,0,0,0,525,0.0,0,90,2015,1
Jakarta Utara,Koja,46,0,0,0,0,0,0,0,1831,54.0,0,90,2015,1
Jakarta Utara,Pademangan,7,0,0,0,0,0,0,0,0,0.0,0,20,2015,1
Jakarta Utara,Penjaringan,5,0,0,0,0,0,0,0,0,0.0,0,30,2015,1
Jakarta Utara,Tanjung Priok,41,0,0,0,0,0,0,0,0,0.0,0,85,2015,1
Jakarta Barat,Cengkareng,52,313,16679,59499,0,0,0,0,6274,48.0,0,150,2015,2
Jakarta Barat,Grogol Petamburan,41,275,0,2163,0,0,0,0,2163,29.0,0,110,2015,2
Jakarta Barat,Kali Deres,16,63,327,902,0,0,0,0,902,22.0,0,110,2015,2
Jakarta Barat,Kebon Jeruk,11,24,1550,5496,0,0,0,0,5496,5.0,0,100,2015,2
Jakarta Barat,Kembangan,11,33,2257,6811,0,0,0,0,143,1.0,0,150,2015,2
Jakarta Barat,Palmerah,22,97,0,0,0,0,0,0,0,0.0,0,80,2015,2
