kota_administrasi,kecamatan,jumlah_terdampak_rw,jumlah_terdampak_rt,jumlah_terdampak_kk,jumlah_terdampak_jiwa,jumlah_meninggal,jumlah_hilang,jumlah_luka_berat,jumlah_luka_ringan,jumlah_pengungsi_tertinggi,jumlah_tempat_pengungsian,nilai_kerugian,ketinggian_air,tahun,bulan
Jakarta Barat, CENGKARENG ,8,39,0,0,0,0,0,0,0,0,0,70,2019,1
Jakarta Barat, GROGOL PETAMBURAN,6,9,0,0,0,0,0,0,0,0,0,30,2019,1
Jakarta Barat, KALIDERES,3,5,0,0,0,0,0,0,0,0,0,60,2019,1
Jakarta Barat, KEBON JERUK,3,9,0,0,0,0,0,0,0,0,0,40,2019,1
Jakarta Barat, KEMBANGAN,3,7,0,0,0,0,0,0,0,0,0,20,2019,1
Jakarta Barat, PALMERAH,2,2,0,0,0,0,0,0,0,0,0,40,2019,1
Jakarta Selatan, PASAR MINGGU,1,3,65,240,0,0,0,0,0,0,0,60,2019,1
Jakarta Timur, CAKUNG,2,2,0,0,0,0,0,0,0,0,0,30,2019,1
Jakarta Timur, JATINEGARA,2,4,70,213,0,0,0,0,0,0,0,30,2019,1
Jakarta Utara, CILINCING,10,20,0,0,0,0,0,0,0,0,0,30,2019,1
Jakarta Utara, KELAPA GADING,4,4,0,0,0,0,0,0,0,0,0,30,2019,1
Jakarta Utara, KOJA,1,3,0,0,0,0,0,0,0,0,0,30,2019,1
Jakarta Utara, PENJARINGAN,11,14,0,0,0,0,0,0,0,0,0,40,2019,1
Jakarta Utara, TANJUNG PRIOK,2,2,0,0,0,0,0,0,0,0,0,25,2019,1
Jakarta Barat, KALIDERES,1,3,0,0,0,0,0,0,0,0,0,5,2019,2
Jakarta Barat, KEMBANGAN,1,1,0,0,0,0,0,0,0,0,0,60,2019,2
Jakarta Selatan, CILANDAK,1,1,0,0,0,0,0,0,0,0,0,50,2019,2
Jakarta Selatan, JAGAKARSA,1,2,0,0,0,0,0,0,0,0,0,70,2019,2
Jakarta Selatan, KEBAYORAN BARU,2,27,0,0,0,0,0,0,0,0,0,50,2019,2
Jakarta Selatan, KEBAYORAN LAMA,3,4,0,0,0,0,0,0,0,0,0,50,2019,2
Jakarta Selatan, MAMPANG,1,6,0,0,0,0,0,0,0,0,0,40,2019,2
Jakarta Selatan, PANCORAN,5,12,4,12,0,0,0,0,0,0,0,80,2019,2
Jakarta Selatan, PASAR MINGGU,5,7,86,171,0,0,0,0,0,0,0,80,2019,2
Jakarta Selatan, TEBET,2,3,0,0,0,0,0,0,0,0,0,15,2019,2
Jakarta Timur, JATINEGARA,7,41,308,1003,0,0,0,0,0,0,0,135,2019,2
Jakarta Timur, MAKASAR,2,13,0,0,0,0,0,0,0,0,0,60,2019,2
Jakarta Timur, PASAR REBO,2,5,0,0,0,0,0,0,0,0,0,60,2019,2
Jakarta Timur,KRAMAT JATI,8,22,0,0,0,0,0,0,0,0,0,120,2019,2
Jakarta Utara, PENJARINGAN,2,2,0,0,0,0,0,0,0,0,0,5,2019,2
Jakarta Barat, CENGKARENG,36,124,29,85,0,0,0,85,2,0,0,75,2019,3
Jakarta Barat, GROGOL PETAMBURAN,11,11,0,0,0,0,0,0,0,0,0,60,2019,3
Jakarta Barat, KALIDERES,3,10,0,0,0,0,0,0,0,0,0,80,2019,3
Jakarta Barat, KEBON JERUK,12,17,0,0,0,0,0,0,0,0,0,50,2019,3
Jakarta Barat, KEMBANGAN,4,8,0,0,0,0,0,0,0,0,0,40,2019,3
Jakarta Barat, TAMBORA,1,2,0,0,0,0,0,0,0,0,0,40,2019,3
Jakarta Pusat, SENEN,1,1,0,0,0,0,0,0,0,0,0,20,2019,3
Jakarta Selatan, CILANDAK,1,1,0,0,0,0,0,0,0,0,0,30,2019,3
Jakarta Selatan, KEBAYORAN BARU,1,4,0,0,0,0,0,0,0,0,0,60,2019,3
Jakarta Selatan, PANCORAN,1,1,0,0,0,0,0,0,0,0,0,30,2019,3
Jakarta Selatan, PASAR MINGGU,2,3,0,0,0,0,0,0,0,0,0,80,2019,3
Jakarta Timur, CAKUNG,2,2,0,0,0,0,0,0,0,0,0,20,2019,3
Jakarta Timur, CIRACAS,1,1,0,0,0,0,0,0,0,0,0,50,2019,3
