kota_administrasi,kecamatan,jumlah_terdampak_rw,jumlah_terdampak_rt,jumlah_terdampak_kk,jumlah_terdampak_jiwa,jumlah_meninggal,jumlah_hilang,jumlah_luka_berat,jumlah_luka_ringan,jumlah_pengungsi_tertinggi,jumlah_tempat_pengungsian,nilai_kerugian,ketinggian_air,bulan,tahun
Jakarta Barat,CENGKARENG,60,60,3296.0,13210,0,0,0,13210,81,0,0,150,1,2020
Jakarta Barat,GROGOL PETAMBURAN,27,27,94.0,377,0,0,0,377,8,0,0,150,1,2020
Jakarta Barat,KALIDERES,34,34,867.0,3467,0,0,0,3467,29,0,0,200,1,2020
Jakarta Barat,KEBON JERUK,25,28,378.0,1404,0,0,0,1404,20,0,0,150,1,2020
Jakarta Barat,KEMBANGAN,24,24,421.0,1686,0,0,0,1686,14,0,0,150,1,2020
Jakarta Barat,PALMERAH,24,24,0.0,0,0,0,0,0,0,0,0,150,1,2020
Jakarta Pusat,JOHAR BARU,4,4,35.0,140,0,0,0,140,1,0,0,30,1,2020
Jakarta Pusat,KEMAYORAN,8,8,0.0,0,0,0,0,0,0,0,0,70,1,2020
Jakarta Pusat,SAWAH BESAR,7,7,155.0,625,0,0,0,625,5,0,0,70,1,2020
Jakarta Pusat,TANAH ABANG,12,35,587.0,2273,0,0,0,2273,14,0,0,150,1,2020
Jakarta Selatan,CILANDAK,11,11,147.0,590,0,0,0,590,10,0,0,71,1,2020
Jakarta Selatan,JAGAKARSA,14,16,380.0,1439,0,0,0,1439,17,0,0,100,1,2020
Jakarta Selatan,KEBAYORAN BARU,19,38,108.0,438,0,0,0,438,7,0,0,150,1,2020
Jakarta Selatan,KEBAYORAN LAMA,15,25,671.0,2642,0,0,0,2642,12,0,0,150,1,2020
Jakarta Selatan,MAMPANG PRAPATAN,20,20,1048.0,4811,0,0,0,4811,28,0,0,150,1,2020
Jakarta Selatan,PANCORAN,17,17,1576.0,6387,0,0,0,6387,20,0,0,200,1,2020
Jakarta Selatan,PASAR MINGGU,24,52,354.0,1406,0,0,0,1406,19,0,0,200,1,2020
Jakarta Selatan,PESANGGRAHAN,10,10,267.0,1067,0,0,0,711,13,0,0,200,1,2020
Jakarta Selatan,SETIABUDI,6,6,155.0,619,0,0,0,619,5,0,0,150,1,2020
Jakarta Selatan,TEBET,17,17,575.0,2234,0,0,0,2234,12,0,0,200,1,2020
Jakarta Timur,CAKUNG,33,38,481.0,1923,0,0,0,1853,3,0,0,200,1,2020
Jakarta Timur,CIPAYUNG,18,34,121.0,365,0,0,0,175,4,0,0,150,1,2020
Jakarta Timur,CIRACAS,14,24,592.0,2288,0,0,0,125,2,0,0,200,1,2020
Jakarta Timur,DUREN SAWIT,19,53,448.0,1649,0,0,0,1209,13,0,0,170,1,2020
Jakarta Timur,JATINEGARA,30,121,3652.0,11904,0,0,0,4215,23,0,0,350,1,2020
Jakarta Timur,KRAMAT JATI,41,74,865.0,3224,0,0,0,6821,29,0,0,200,1,2020
Jakarta Timur,MAKASAR,24,53,1460.0,5655,0,0,0,6537,30,0,0,220,1,2020
Jakarta Timur,MATRAMAN,9,16,609.0,2149,0,0,0,537,7,0,0,150,1,2020
Jakarta Timur,PASAR REBO,8,8,128.0,307,0,0,0,100,1,0,0,150,1,2020
Jakarta Timur,PULOGADUNG,14,37,1697.0,5094,0,0,0,2310,4,0,0,150,1,2020
Jakarta Utara,CILINCING,27,47,559.0,2243,0,0,0,2431,30,0,0,150,1,2020
Jakarta Utara,KELAPA GADING,14,14,77.0,310,0,0,0,310,5,0,0,70,1,2020
Jakarta Utara,KOJA,1,1,0.0,0,0,0,0,0,0,0,0,50,1,2020
Jakarta Utara,PADEMANGAN,4,4,0.0,0,0,0,0,0,0,0,0,30,1,2020
Jakarta Utara,PENJARINGAN,17,17,292.0,1168,0,0,0,1168,10,0,0,150,1,2020
Jakarta Barat,CENGKARENG,37,97,0.0,0,0,0,0,680,8,0,0,70,2,2020
Jakarta Barat,GROGOL PETAMBURAN,7,9,0.0,0,0,0,0,0,0,0,0,50,2,2020
Jakarta Barat,KALIDERES,23,45,0.0,0,0,0,0,55,2,0,0,60,2,2020
Jakarta Barat,KEBON JERUK,8,16,0.0,0,0,0,0,0,0,0,0,80,2,2020
Jakarta Barat,KEMBANGAN,10,17,0.0,0,0,0,0,65,3,0,0,80,2,2020
Jakarta Barat,PALMERAH,7,10,21.0,85,0,0,0,85,1,0,0,50,2,2020
Jakarta Barat,TAMAN SARI,3,19,0.0,0,0,0,0,0,0,0,0,40,2,2020
Jakarta Barat,TAMBORA,1,1,0.0,0,0,0,0,0,0,0,0,50,2,2020
Jakarta Pusat,CEMPAKA PUTIH,8,9,0.0,0,0,0,0,0,0,0,0,30,2,2020
Jakarta Pusat,GAMBIR,1,1,0.0,0,0,0,0,0,0,0,0,20,2,2020
Jakarta Pusat,JOHAR BARU,4,5,0.0,0,0,0,0,0,0,0,0,50,2,2020
Jakarta Pusat,KEMAYORAN,18,23,0.0,0,0,0,0,0,0,0,0,100,2,2020
Jakarta Pusat,MENTENG,6,6,0.0,0,0,0,0,50,1,0,0,90,2,2020
Jakarta Pusat,SAWAH BESAR,8,10,0.0,0,0,0,0,450,1,0,0,40,2,2020
Jakarta Pusat,SENEN,4,4,0.0,0,0,0,0,0,0,0,0,50,2,2020
Jakarta Pusat,TANAH ABANG,11,26,0.0,0,0,0,0,1843,10,0,0,120,2,2020
Jakarta Selatan,CILANDAK,4,4,0.0,0,0,0,0,0,0,0,0,80,2,2020
Jakarta Selatan,JAGAKARSA,2,3,0.0,0,0,0,0,0,0,0,0,100,2,2020
Jakarta Selatan,KEBAYORAN BARU,9,9,0.0,0,0,0,0,0,0,0,0,35,2,2020
Jakarta Selatan,KEBAYORAN LAMA,5,8,0.0,0,0,0,0,0,0,0,0,100,2,2020
Jakarta Selatan,MAMPANG PRAPATAN,7,9,0.0,0,0,0,0,0,0,0,0,120,2,2020
Jakarta Selatan,PANCORAN,10,10,141.0,403,0,0,0,403,4,0,0,200,2,2020
Jakarta Selatan,PASAR MINGGU,16,24,132.0,329,0,0,0,0,0,0,0,120,2,2020
Jakarta Selatan,PESANGGRAHAN,3,5,0.0,0,0,0,0,0,0,0,0,30,2,2020
Jakarta Selatan,SETIABUDI,6,6,0.0,0,0,0,0,0,0,0,0,80,2,2020
Jakarta Selatan,TEBET,24,29,109.0,435,0,0,0,435,2,0,0,130,2,2020
Jakarta Timur,CAKUNG,29,65,940.0,3292,0,0,0,762,11,0,0,250,2,2020
Jakarta Timur,CIPAYUNG,13,26,0.0,0,0,0,0,80,2,0,0,60,2,2020
Jakarta Timur,CIRACAS,15,43,774.0,2286,0,0,0,10,1,0,0,100,2,2020
Jakarta Timur,DUREN SAWIT,39,85,436.0,2262,0,0,0,320,4,0,0,100,2,2020
Jakarta Timur,JATINEGARA,29,64,1768.0,6797,0,0,0,1550,14,0,0,150,2,2020
Jakarta Timur,KRAMAT JATI,34,70,60.0,244,0,0,0,508,10,0,0,150,2,2020
Jakarta Timur,MAKASAR,30,62,3940.0,14195,0,0,0,4366,22,0,0,150,2,2020
Jakarta Timur,MATRAMAN,15,33,323.0,1157,0,0,0,400,5,0,0,60,2,2020
Jakarta Timur,PASAR REBO,1,1,0.0,0,0,0,0,0,0,0,0,25,2,2020
Jakarta Timur,PULOGADUNG,27,54,2761.0,8103,0,0,0,975,4,0,0,100,2,2020
Jakarta Utara,CILIINCING,37,59,965.0,2981,0,0,0,2981,27,0,0,110,2,2020
Jakarta Utara,KELAPA GADING,27,27,109.0,453,0,0,0,453,9,0,0,70,2,2020
Jakarta Utara,KOJA,18,21,22.0,192,0,0,0,138,1,0,0,80,2,2020
Jakarta Utara,PADEMANGAN,6,6,0.0,0,0,0,0,0,0,0,0,30,2,2020
Jakarta Utara,PENJARINGAN,9,63,50.0,250,0,0,0,230,5,0,0,80,2,2020
Jakarta Utara,TANJUNG PRIOK,10,10,0.0,0,0,0,0,0,0,0,0,30,2,2020
Jakarta Barat,CENGKARENG,10,25,0.0,0,0,0,0,0,0,0,0,50,3,2020
Jakarta Barat,KALIDERES,5,12,0.0,0,0,0,0,0,0,0,0,30,3,2020
Jakarta Barat,KEBON JERUK,2,4,0.0,0,0,0,0,0,0,0,0,30,3,2020
Jakarta Barat,KEMBANGAN,4,7,0.0,0,0,0,0,0,0,0,0,40,3,2020
Jakarta Barat,PALMERAH,2,2,0.0,0,0,0,0,0,0,0,0,20,3,2020
Jakarta Selatan,CILANDAK,6,9,0.0,0,0,0,0,0,0,0,0,70,3,2020
Jakarta Selatan,JAGAKARSA,1,1,0.0,0,0,0,0,0,0,0,0,70,3,2020
Jakarta Selatan,KEBAYORAN LAMA,4,9,0.0,0,0,0,0,0,0,0,0,115,3,2020
Jakarta Selatan,MAMPANG PRAPATAN,4,7,0.0,0,0,0,0,0,0,0,0,40,3,2020
Jakarta Selatan,PANCORAN,3,5,0.0,0,0,0,0,0,0,0,0,90,3,2020
Jakarta Selatan,PASAR MINGGU,7,13,170.0,517,0,0,0,0,0,0,0,160,3,2020
Jakarta Selatan,PESANGGRAHAN,4,5,0.0,0,0,0,0,0,0,0,0,60,3,2020
Jakarta Selatan,SETIABUDI,5,5,0.0,0,0,0,0,0,0,0,0,60,3,2020
Jakarta Selatan,TEBET,4,4,0.0,0,0,0,0,0,0,0,0,80,3,2020
Jakarta Timur,CAKUNG,6,13,114.0,207,0,0,0,39,2,0,0,60,3,2020
Jakarta Timur,CIPAYUNG,6,7,4.0,10,0,0,0,10,1,0,0,80,3,2020
Jakarta Timur,CIRACAS,2,3,40.0,100,0,0,0,16,1,0,0,100,3,2020
Jakarta Timur,DUREN SAWIT,1,2,0.0,0,0,0,0,0,0,0,0,30,3,2020
Jakarta Timur,JATINEGARA,10,39,2155.0,6362,0,0,0,277,7,0,0,140,3,2020
Jakarta Timur,KRAMAT JATI,9,22,10.0,43,0,0,0,0,0,0,0,115,3,2020
Jakarta Timur,MAKASAR,5,18,564.0,2448,0,0,0,111,3,0,0,100,3,2020
Jakarta Timur,PASAR REBO,2,2,0.0,0,0,0,0,0,0,0,0,100,3,2020
Jakarta Utara,CILINCING,1,1,0.0,0,0,0,0,0,0,0,0,30,3,2020
Jakarta Utara,PENJARINGAN,1,1,0.0,0,0,0,0,0,0,0,0,10,3,2020
Jakarta Barat,CENGKARENG,4,7,0.0,0,0,0,0,0,0,0,0,20,4,2020
Jakarta Barat,KEBON JERUK,8,22,0.0,0,0,0,0,0,0,0,0,90,4,2020
Jakarta Barat,KEMBANGAN,8,11,20.0,65,0,0,0,65,1,0,0,60,4,2020
Jakarta Selatan,CILANDAK,4,5,3.0,10,0,0,0,10,1,0,0,80,4,2020
Jakarta Selatan,JAGAKARSA,3,3,0.0,0,0,0,0,0,0,0,0,50,4,2020
Jakarta Selatan,KEBAYORAN BARU,2,3,0.0,0,0,0,0,0,0,0,0,50,4,2020
Jakarta Selatan,KEBAYORAN LAMA,4,6,0.0,0,0,0,0,0,0,0,0,40,4,2020
Jakarta Selatan,MAMPANG PRAPATAN,8,10,0.0,0,0,0,0,0,0,0,0,90,4,2020
Jakarta Selatan,PANCORAN,4,4,0.0,0,0,0,0,0,0,0,0,50,4,2020
Jakarta Selatan,PASAR MINGGU,12,26,0.0,0,0,0,0,0,0,0,0,80,4,2020
Jakarta Selatan,PESANGGRAHAN,4,7,0.0,0,0,0,0,0,0,0,0,20,4,2020
Jakarta Selatan,TEBET,5,7,0.0,0,0,0,0,0,0,0,0,40,4,2020
Jakarta Timur,CAKUNG,1,1,0.0,0,0,0,0,0,0,0,0,20,4,2020
Jakarta Timur,CIPAYUNG,2,2,0.0,0,0,0,0,0,0,0,0,20,4,2020
Jakarta Timur,CIRACAS,4,6,0.0,0,0,0,0,0,0,0,0,50,4,2020
Jakarta Timur,DUREN SAWIT,1,1,0.0,0,0,0,0,0,0,0,0,30,4,2020
Jakarta Timur,JATINEGARA,8,25,297.0,970,0,0,0,0,0,0,0,130,4,2020
Jakarta Timur,KRAMAT JATI,12,21,22.0,65,0,0,0,0,0,0,0,110,4,2020
Jakarta Timur,MAKASAR,9,41,717.0,1856,0,0,0,0,0,0,0,50,4,2020
Jakarta Timur,PASAR REBO,2,2,0.0,0,0,0,0,0,0,0,0,30,4,2020
Jakarta Utara,PENJARINGAN,1,3,0.0,0,0,0,0,0,0,0,0,30,4,2020
Jakarta Barat,KEMBANGAN,2,2,0.0,0,0,0,0,0,0,0,0,30,5,2020
Jakarta Selatan,JAGAKARSA,2,2,0.0,0,0,0,0,0,0,0,0,40,5,2020
Jakarta Selatan,KEBAYORAN LAMA,2,8,25.0,77,0,0,0,0,0,0,0,100,5,2020
Jakarta Selatan,PANCORAN,2,3,0.0,0,0,0,0,0,0,0,0,100,5,2020
Jakarta Selatan,PASAR MINGGU,7,10,141.0,456,0,0,0,0,0,0,0,150,5,2020
Jakarta Selatan,TEBET,2,3,0.0,0,0,0,0,0,0,0,0,65,5,2020
Jakarta Timur,CIPAYUNG,2,3,0.0,0,0,0,0,0,0,0,0,50,5,2020
Jakarta Timur,CIRACAS,6,13,0.0,0,0,0,0,0,0,0,0,50,5,2020
Jakarta Timur,JATINEGARA,7,36,725.0,2584,0,0,0,85,4,0,0,180,5,2020
Jakarta Timur,KRAMAT JATI,12,36,0.0,0,0,0,0,128,2,0,0,200,5,2020
Jakarta Timur,MATRAMAN,1,3,0.0,0,0,0,0,0,0,0,0,20,5,2020
Jakarta Timur,PASAR REBO,2,1,0.0,0,0,0,0,0,0,0,0,100,5,2020
Jakarta Barat,CENGKARENG,6,11,0.0,0,0,0,0,0,0,0,0,30,6,2020
Jakarta Barat,GROGOL PETAMBURAN,1,1,0.0,0,0,0,0,0,0,0,0,10,6,2020
Jakarta Barat,KALIDERES,2,4,0.0,0,0,0,0,0,0,0,0,50,6,2020
Jakarta Barat,KEBON JERUK,1,1,0.0,0,0,0,0,0,0,0,0,40,6,2020
Jakarta Utara,CILINCING,3,5,0.0,0,0,0,0,0,0,0,0,40,6,2020
Jakarta Utara,PADEMANGAN,1,1,50.0,200,0,0,0,200,5,0,0,50,6,2020
Jakarta Utara,PENJARINGAN,11,38,30.0,120,0,0,0,120,2,0,0,120,6,2020
Jakarta Barat,KEMBANGAN,3,4,0.0,0,0,0,0,0,0,0,0,50,7,2020
Jakarta Barat,TAMAN SARI,1,1,0.0,0,0,0,0,0,0,0,0,20,7,2020
Jakarta Barat,CENGKARENG,7,9,0.0,0,0,0,0,0,0,0,0,20,8,2020
Jakarta Barat,KALIDERES,1,2,0.0,0,0,0,0,0,0,0,0,15,8,2020
Jakarta Barat,PALMERAH,2,2,0.0,0,0,0,0,0,0,0,0,30,8,2020
Jakarta Pusat,SENEN,1,1,0.0,0,0,0,0,0,0,0,0,20,8,2020
Jakarta Pusat,TANAH ABANG,1,1,0.0,0,0,0,0,0,0,0,0,15,8,2020
Jakarta Selatan,MAMPANG PRAPATAN,2,3,0.0,0,0,0,0,0,0,0,0,80,8,2020
Jakarta Selatan,PASAR MINGGU,1,2,0.0,0,0,0,0,0,0,0,0,60,8,2020
Jakarta Selatan,PESANGGRAHAN,1,2,0.0,0,0,0,0,0,0,0,0,20,8,2020
Jakarta Selatan,TEBET,2,10,0.0,0,0,0,0,0,0,0,0,30,8,2020
Jakarta Urata,CILINCING,2,10,0.0,0,0,0,0,0,0,0,0,30,8,2020
Jakarta Barat,CENGKARENG,16,20,0.0,0,0,0,0,0,0,0,0,30,9,2020
Jakarta Barat,GROGOL PETAMBURAN,2,6,0.0,0,0,0,0,0,0,0,0,25,9,2020
Jakarta Barat,KALIDERES,1,1,0.0,0,0,0,0,0,0,0,0,10,9,2020
Jakarta Barat,KEBON JERUK,14,17,0.0,0,0,0,0,0,0,0,0,130,9,2020
Jakarta Barat,KEMBANGAN,2,2,5.0,15,0,0,0,15,1,0,0,60,9,2020
Jakarta Barat,PALMERAH,1,1,0.0,0,0,0,0,0,0,0,0,30,9,2020
Jakarta Barat,TAMBORA,1,2,0.0,0,0,0,0,0,0,0,0,30,9,2020
Jakarta Pusat,TANAH ABANG,1,1,0.0,0,0,0,0,0,0,0,0,20,9,2020
Jakarta Selatan,CILANDAK,1,1,0.0,0,0,0,0,0,0,0,0,20,9,2020
Jakarta Selatan,KEBAYORAN BARU,1,2,0.0,0,0,0,0,0,0,0,0,50,9,2020
Jakarta Selatan,PANCORAN,3,6,25.0,89,0,0,0,89,4,0,0,40,9,2020
Jakarta Selatan,PASAR MINGGU,4,6,0.0,0,0,0,0,0,0,0,0,100,9,2020
Jakarta Selatan,TEBET,1,1,0.0,0,0,0,0,0,0,0,0,30,9,2020
Jakarta Timur,JATINEGARA,6,24,289.0,928,0,0,0,0,0,0,0,75,9,2020
Jakarta Timur,KRAMAT JATI,9,20,95.0,268,0,0,0,0,0,0,0,100,9,2020
Jakarta Utara,PENJARINGAN,2,2,0.0,0,0,0,0,0,0,0,0,50,9,2020
