date,kota_administrasi,kecamatan,ketinggian_air,ketinggian_air_forecast
2018-12-01,Jakarta Barat,Cengkareng,30.0,11.498510360717773
2019-01-01,Jakarta Barat,Cengkareng,0.0,0.0
2019-02-01,Jakarta Barat,Cengkareng,60.0,3.916541337966919
2019-03-01,Jakarta Barat,Cengkareng,70.0,91.47236633300781
2019-04-01,Jakarta Barat,Cengkareng,0.0,12.31956958770752
2019-05-01,Jakarta Barat,Cengkareng,75.0,117.86354064941406
2019-06-01,Jakarta Barat,Cengkareng,80.00000000000001,25.87491798400879
2019-07-01,Jakarta Barat,Cengkareng,0.0,0.0
2019-08-01,Jakarta Barat,Cengkareng,0.0,0.0
2019-09-01,Jakarta Barat,Cengkareng,0.0,0.0
2019-10-01,Jakarta Barat,Cengkareng,0.0,3.3158657550811768
2019-11-01,Jakarta Barat,Cengkareng,0.0,0.0
2019-12-01,Jakarta Barat,Cengkareng,0.0,0.0
2020-01-01,Jakarta Barat,Cengkareng,0.0,0.0
2020-02-01,Jakarta Barat,Cengkareng,15.0,43.76783752441406
2020-03-01,Jakarta Barat,Cengkareng,150.0,104.77099609375
2020-04-01,Jakarta Barat,Cengkareng,70.0,112.38628387451172
2020-05-01,Jakarta Barat,Cengkareng,50.0,62.50969314575195
2020-06-01,Jakarta Barat,Cengkareng,20.0,51.06230163574219
2020-07-01,Jakarta Barat,Cengkareng,0.0,0.0
2020-08-01,Jakarta Barat,Cengkareng,30.0,6.202615261077881
2020-09-01,Jakarta Barat,Cengkareng,0.0,6.689202785491943
2020-10-01,Jakarta Barat,Cengkareng,20.0,0.0
2020-11-01,Jakarta Barat,Cengkareng,30.0,0.0
2018-12-01,Jakarta Barat,Grogol Petamburan ,0.0,0.0
2019-01-01,Jakarta Barat,Grogol Petamburan ,0.0,8.165377616882324
2019-02-01,Jakarta Barat,Grogol Petamburan ,0.0,0.0
2019-03-01,Jakarta Barat,Grogol Petamburan ,30.0,47.45554733276367
2019-04-01,Jakarta Barat,Grogol Petamburan ,0.0,0.0
2019-05-01,Jakarta Barat,Grogol Petamburan ,60.0,46.55351638793945
2019-06-01,Jakarta Barat,Grogol Petamburan ,0.0,0.0
2019-07-01,Jakarta Barat,Grogol Petamburan ,0.0,4.885649681091309
2019-08-01,Jakarta Barat,Grogol Petamburan ,0.0,5.628221035003662
2019-09-01,Jakarta Barat,Grogol Petamburan ,0.0,2.4066860675811768
2019-10-01,Jakarta Barat,Grogol Petamburan ,0.0,0.0
2019-11-01,Jakarta Barat,Grogol Petamburan ,0.0,0.0
2019-12-01,Jakarta Barat,Grogol Petamburan ,0.0,0.0
2020-01-01,Jakarta Barat,Grogol Petamburan ,0.0,0.0
2020-02-01,Jakarta Barat,Grogol Petamburan ,0.0,12.312474250793457
2020-03-01,Jakarta Barat,Grogol Petamburan ,150.0,53.817264556884766
2020-04-01,Jakarta Barat,Grogol Petamburan ,50.0,57.399269104003906
2020-05-01,Jakarta Barat,Grogol Petamburan ,0.0,4.603408336639404
2020-06-01,Jakarta Barat,Grogol Petamburan ,0.0,1.5758565664291382
2020-07-01,Jakarta Barat,Grogol Petamburan ,0.0,1.7273916006088257
2020-08-01,Jakarta Barat,Grogol Petamburan ,10.0,4.180418491363525
2020-09-01,Jakarta Barat,Grogol Petamburan ,0.0,0.0
2020-10-01,Jakarta Barat,Grogol Petamburan ,0.0,1.4592078924179077
2020-11-01,Jakarta Barat,Grogol Petamburan ,25.0,0.0
2018-12-01,Jakarta Barat,Kalideres,0.0,1.5678110122680664
2019-01-01,Jakarta Barat,Kalideres,30.0,0.0
2019-02-01,Jakarta Barat,Kalideres,10.0,0.0
2019-03-01,Jakarta Barat,Kalideres,60.0,28.125194549560547
2019-04-01,Jakarta Barat,Kalideres,5.0,15.48731803894043
2019-05-01,Jakarta Barat,Kalideres,80.0,17.922807693481445
2019-06-01,Jakarta Barat,Kalideres,0.0,7.1883955001831055
